Marketplace,"Fair Market
Practices","Transparent pricing
schedules",Competition,"MOH pricing
guidelines","Compliance with
MOH guidelines"
,"Procurement
Practices","Contribute to economy
and business growth","• Inflationary
cost pressures
• Supply chain
disruptions","• Tender
evaluation
criteria
• Cost savings","Compliance
with tender and
procurement
practices"
,"Risk
Management
and Internal
Controls","• Ensure adequate
and effective risk
management that is
aligned with the Group’s
business objectives
• Mitigate business risks","Keeping updated
with the latest
emerging threat
and risk","• Code of
conduct and
business ethics
• Incidents
reported
• Enterprise Risk
Management
(ERM) risk
rating","Annual risk
assessment
conducted
Group-wide"
,"Community
Development",Stronger public branding,"Programme
selection","Health
campaigns","Completion of
health awareness
campaigns"
,"Digital
Transformation","Reach out and engage
clients and patients","• Rapid
technology
changes
• Competition
in the open
market","Digital
engagement","Digital outreach
census"
